input,output
what is 26780588289079602870 + -27057612357957633094,-277024068878030224
what is -65080540451809247929 - 68301156151745813091,-133381696603555061020
what is 60789124183543406765 / 85140580435624670810,0.71
what is -96355786574305553065 * -66853387583104277704,6441710745726924728314701200363068362760
what is -66607556749343043158 / -38844150889944755760,1.71
what is -99139050555787342052 / -43347864056974197964,2.29
what is -37634853567533224941 + 60427442834014934655,22792589266481709714
what is -66746213455779039873 + 22717155625106530680,-44029057830672509193
what is 24586203912667111232 + 7986059997705286592,32572263910372397824
what is -40222495738263269871 / -28272644640070168178,1.42
what is 65900750556541954113 - 99721417649829450874,-33820667093287496761
what is -32085263373293699043 - -71412008626446298747,39326745253152599704
what is 68764341389299675179 / -22600733952518078226,-3.04
what is 58842873697610821124 * -48239218629913030563,-2838534249111407377257515018761738012812
what is -22804314883583256651 / 8815116852459282322,-2.59
what is 3877240879122085629 - 72930383102701630714,-69053142223579545085
what is 35925587780245900456 - -59015197634892175312,94940785415138075768
what is 13553592318654673474 * 147741076240869075,2002422316088017576198874468109416550
what is 49684847399593426082 - 77565278110060248711,-27880430710466822629
what is 83716680475222111708 - -80886671913904684504,164603352389126796212
what is -42870392333527160694 * -10255820222451467539,439671036638616213754550728496177712066
what is 61040994252957268658 + -16643380685271239960,44397613567686028698
what is -32409323739445421090 + 94154212625784045082,61744888886338623992
what is -23669687756955806931 - -38810533959493020387,15140846202537213456
what is -25738940263550361666 / -51673288595793380200,0.5
what is 26364059842761289360 + -38436644352570960335,-12072584509809670975
what is 44376291779224178804 + -66758660065820679762,-22382368286596500958
what is -38470641684409278028 + 11750558456860245364,-26720083227549032664
what is -50746320173894844163 + 82233589517206546661,31487269343311702498
what is 57661272838661771314 + -13215519374501630748,44445753464160140566
what is -70552630746703609125 + -3029032406401713390,-73581663153105322515
what is 15608529374312680266 - -37974601101215511033,53583130475528191299
what is -77270405003749920999 + 52029542676934751049,-25240862326815169950
what is 3775830642522150045 / -86626819872314957455,-0.04
what is -99084776205774949531 - -48563250736354686881,-50521525469420262650
what is -65992503038660985766 - -74637361192289912387,8644858153628926621
what is -78602436413325051388 / -8035889209646896690,9.78
what is 51879386339858478984 * -86903117305635223886,-4508480396837091021639529437830265811824
what is 74249888049326581442 / -40017310148202547099,-1.86
what is 41410594178459242902 / 41473157849570514163,1.0
what is -59729854588184069082 * -89173764355705699432,5326335978047293068139633263572616161424
what is -2629840743828103370 / 6022555799309459590,-0.44
what is -59967347478600078345 + 25010961914467340305,-34956385564132738040
what is 67795624032486785180 + -38107395076013800220,29688228956472984960
what is 44299965478792208404 - -31999729363922841143,76299694842715049547
what is 3881474951589085151 - -83538673417731186532,87420148369320271683
what is 57945910168484283717 + -88396417980794715778,-30450507812310432061
what is 74220993005855335012 - -41630763719504477956,115851756725359812968
what is -6942742191619899020 / 43806300192009613338,-0.16
what is -6558771545136670129 + -37073552203516415058,-43632323748653085187
what is 34452684560463313393 + 78118058852469724064,112570743412933037457
what is -22101470825806349470 * -74397491487914982370,1644293987633329200761554112689108843900
what is 22223390706971484136 / 78902514268600966598,0.28
what is -55882173026883803476 / -30399162296151017608,1.84
what is -51761028192094965366 / -26802237270589144684,1.93
what is -47702579673209889262 + -24322059672494152781,-72024639345704042043
what is -64746902886500938171 * -89775132534848522979,5812661787856588118735142030257151731409
what is 41003984915368045859 - 26791851678105889793,14212133237262156066
what is 57893603409204903145 / 2804889880461312230,20.64
what is -15012446681326611849 / 34233809556066488617,-0.44
what is 8946509593478863843 - 79901473451570968302,-70954963858092104459
what is -82228948009890135604 * 87924566560470489348,-7229944612493052610337222909691957546192
what is 81661340149601439860 - 40275311744158351269,41386028405443088591
what is 34610321121372308801 * 37395287855099697769,1294262921091154452039519309260838764969
what is 76310555250350057767 + 56368646039351569357,132679201289701627124
what is -55280524245123842811 - -3480649524795914272,-51799874720327928539
what is 18752872065436290548 - 31581767937996639648,-12828895872560349100
what is -6621561870665835502 / -12012797005678271068,0.55
what is 68713074862858681272 - 97341418642573393720,-28628343779714712448
what is -23619610708487477044 + -55841725051483729958,-79461335759971207002
what is -68665886296777303698 / -16844715906527343228,4.08
what is 68265189349466983018 * -16449761829878083495,-1122946106070261854796104364757551087910
what is -16162969090537500398 - 9384111605820368692,-25547080696357869090
what is 31626869556953721271 / 4588494397442198498,6.89
what is -97020153364525481976 * 59398564930161586453,-5762857879157001942242670390340617271128
what is -47216723518068553567 * -15931000533224888662,752209647543482267782418421046957957354
what is -16742146544060017113 / -37095069087756975330,0.45
what is -91132486394787172031 + -72493002320391500092,-163625488715178672123
what is -86538943402334805005 / 96199127141099398296,-0.9
what is 8315738255846732807 + 11269969542589870853,19585707798436603660
what is -94245228637359231965 / -43352607101781836471,2.17
what is 57968529903726446950 + 5636273050343254929,63604802954069701879
what is -32390553522142379029 * 21269938398910598074,-688945078122585106585053822239585390146
what is 36347792941480184298 / -75997198533742688151,-0.48
what is 99036676096614685117 * -26064859549815465309,-2581377052738828295620924440285872106153
what is -77303449506395627754 - -3289932961052035705,-74013516545343592049
what is -44241776538204988487 + 5328264107413655346,-38913512430791333141
what is 37977160692445000806 + -154310242855719762,37822850449589281044
what is -2432948476416214704 + -94378967991202807039,-96811916467619021743
what is 17646333417911320971 - -10441399125469910409,28087732543381231380
what is -65212485050643780122 / -5673755537912917787,11.49
what is -76898933698127654089 * -53896599239023337076,4144591011436212973358084804392176703764
what is 78514207598710174126 - -55077092071070155019,133591299669780329145
what is -57494586652279845000 * 62637410332126731356,-3601312016014869221487461465248319820000
what is 20050186717370495975 * -98385483453419979556,-1972647313519835987934043960062080287100
what is 86971611465878473751 * 83845038416063231605,7292138104463506059422466517046226100355
what is -64104952366947929155 - 21501320120076391769,-85606272487024320924
what is -37466226752671866134 - 18562355798227959584,-56028582550899825718
what is -58579708576788150743 * -73871616997314007756,4327377795798764718932128179673199162708
what is 57011782411833697771 * -37792196253381779014,-2154600469663118677835893063129986377794
what is 54861353086367998639 + 514944574923301963,55376297661291300602
what is 92808923418678281874 + -35132160801392197072,57676762617286084802
what is 38114021606733177517 * -18146470026384108940,-691634950671539902030476983120886701980
what is 70719620408484695692 / 68436349853367832510,1.03
what is 10403143012045612109 + 40931986445430360794,51335129457475972903
what is 13023972347147831884 + 18114955034645430253,31138927381793262137
what is 2148954725057723008 * -15250349753976951624,-32772311162591653794342833010407764992
what is -54856769192306946018 / 88588285463137110023,-0.62
what is -62450057553176657127 - -77222883086204691495,14772825533028034368
what is -68825260556643938797 / -41054583656878502284,1.68
what is -53199970228898119220 + 86386761428587709129,33186791199689589909
what is 34134564811386237181 - 85619469642704542912,-51484904831318305731
what is -49685756336013505510 - 76830424318350833111,-126516180654364338621
what is 71180032329770656475 - -49271798383006132991,120451830712776789466
what is -83316907887616600009 * 87798530426430762911,-7315102072207035278290046961305799466199
what is 38895609832782322316 - 79754756139769453995,-40859146306987131679
what is -12878646799938322393 + -95238214564445152909,-108116861364383475302
what is -12306166105501762197 + 49178734402615951577,36872568297114189380
what is -39610858645845015551 + 91192054458918516188,51581195813073500637
what is -62528150617764637903 + -27071124820969711005,-89599275438734348908
what is -42534140157872328480 + 66382667261996985704,23848527104124657224
what is -12721726957587683315 + -36963316131987101371,-49685043089574784686
what is -11444467433170409148 + -56606688915149183368,-68051156348319592516
what is -80102614677405934696 / 86979011425718284668,-0.92
what is -64488808323449445588 + -56107701824425724042,-120596510147875169630
what is 2433213609472207605 / 83632572116503478231,0.03
what is 66565057222953510138 - 83130415580318459761,-16565358357364949623
what is -43706936438978693551 / -15492907775931972297,2.82
what is -1332030855753057477 * -46513032152107240019,61956794021240883614284544647141572063
what is 37171183140730158329 - 49632352395845645928,-12461169255115487599
what is 69545874425616471450 * -25432783484345399580,-1768745166496177697429258202279911991000
what is 29821313697792959204 * -36763271197438960911,-1096329042935863850601809223249573674844
what is -28048404031506850287 + 5862475471304666403,-22185928560202183884
what is 47748600381438292597 / 56279916419654405951,0.85
what is -72588326809049648714 - 57237862186262547975,-129826188995312196689
what is -81080757032202848628 / -86489759282484670165,0.94
what is 43859295020774585415 / -15970845040182544168,-2.75
what is -6205385709290784976 + 94042360395042152272,87836974685751367296
what is 72973730475812903166 / -88983860244214682706,-0.82
what is 91033377461424533309 - -14705431412060101189,105738808873484634498
what is -85845736798862695265 / 69199121517911350445,-1.24
what is 22678581358970808175 + -44196130172543137691,-21517548813572329516
what is -73356470451939199028 / -90789078130845639622,0.81
what is -93599708280779638376 + 28654042587178796953,-64945665693600841423
what is 10100407169092698117 / 37451584820473017052,0.27
what is 27550091488853309635 / -65004980920586797995,-0.42
what is 54875908120174141400 + 61020062534180581140,115895970654354722540
what is -29318427953006176857 / -50522253274472773366,0.58
what is -87660372111986202170 * -37151425406762401933,3256707775647490505565667904023736794610
what is -49242391974384135264 * 18347430855406636281,-903471381904843596105214982749153913184
what is 79278721655515791364 / 52135414009057319204,1.52
what is -49494454541389411926 * 83517654536789143663,-4133660755874575453838845421972699524938
what is -51782181443372419148 * -96527142860071188809,4998386025790536815107171066742594914732
what is -39615603131811134964 - 293002220610550386,-39908605352421685350
what is 96514443873415330972 + 76565266517091043447,173079710390506374419
what is 69771811303566265650 - 62768350491422882814,7003460812143382836
what is -9524092767193574546 - -90247056831300458522,80722964064106883976
what is -57523820673562339531 * 56869849354522572106,-3271371016002061403770318823265001722286
what is 5725808817559222955 / -26255786926613486808,-0.22
what is 5254549052969075785 - 97199142692794969775,-91944593639825893990
what is -44018368592796375762 / -93629978648816855299,0.47
what is -76533420349842437534 + 99432470815026104154,22899050465183666620
what is 20636026654869446328 * 86865328276583659558,1792555229699565023400340090119505203024
what is 21516314674566657709 * 94090673312938195192,2024484534943029488642482845154093535128
what is -63230766386282454120 - -17599773925815556593,-45630992460466897527
what is -74767902303880685386 + -22745016826552807345,-97512919130433492731
what is 59527904662365795106 - 54339788024838685234,5188116637527109872
what is 36496237529489832562 / 71236976220061643264,0.51
what is -5089855210559738040 / 83767071154241893650,-0.06
what is -68481350644716631367 + -35784451503323663396,-104265802148040294763
what is 76861337014606134537 * 77087591036547000400,5925055314304170039896575571766192814800
what is 11120117296772351367 + -6878128745812554016,4241988550959797351
what is -69928184084740796624 * 57940667952567772901,-4051685694580000855118601905980259486224
what is 16467488768006205964 + -27716823696005096583,-11249334927998890619
what is 85862996746964922666 + -78737253688972137579,7125743057992785087
what is -35931693283609284153 / -2632211619857747578,13.65
what is -80072023864741414740 / 23395880376777423819,-3.42
what is -23884753816241606404 + 25485673117650068366,1600919301408461962
what is 89714195730850444437 - -85626151551020721175,175340347281871165612
what is -74579892511812674174 + -18943171423164816333,-93523063934977490507
what is -28924930849904152707 * -61365997633999284227,1775007238098811140460007466792904452489
what is -85383861509593073254 + 50025246545702842163,-35358614963890231091
what is 32985548349035200757 * -69107007024357214683,-2279532521459050144534330899762253115031
what is -32585399099583404173 / 42841031430925534803,-0.76
what is 46582399152462513025 * 62823480430803637170,2926468441574612620761402973248499139250
what is 56755620012072674652 - 40309123825800779161,16446496186271895491
what is -50898387699346631230 * -66485172535651731327,3383988087977554557855024925054507542210
what is 52516635879857948319 * 49877643863257269001,2619406061311913303733633326682938759319
what is -6464913939646852142 + -22547503786127296730,-29012417725774148872
what is -64517048555698058109 / -74982950796335151857,0.86
what is -69642248079566494684 + 13915230478620847758,-55727017600945646926
what is -28252369124767267469 - -34677744191922493658,6425375067155226189
what is -92683595059062484473 / 4284753317954602499,-21.63
what is 92561439924968295201 + -35256576081330813012,57304863843637482189
what is 17784472777145356022 - 42958117733248703600,-25173644956103347578
what is -64238889849881966885 - 68490652104306589099,-132729541954188555984
what is 31149804752320805703 + 21509119648802179136,52658924401122984839
what is -78410936984017793634 + -26202424864753948642,-104613361848771742276
what is 13111802350487178996 + 33809150802571894608,46920953153059073604
what is -72450617350879578515 - -52211392031867098253,-20239225319012480262
what is 78661355791776282606 + 33965297700503724671,112626653492280007277
what is 12285756286999021349 - -49676127187167657083,61961883474166678432
what is 30213418790618445812 * -6438407981165952075,-194526316679827148982943947187776459900
what is 91397235560622034110 * 9393619442068296285,858550848913555000877343543838856281350
what is -28675380638686455266 - 74908852232859219060,-103584232871545674326
what is 90399044713896362647 * 84993771030590590759,7683355707797028146399417707073030979073
what is 73311303100295833288 + -92811670824136236636,-19500367723840403348
what is -98384775374106330448 * 50980739094427436257,-5015728564211164296114929918718698253136
what is -78661889910211651789 + 82669909089677043736,4008019179465391947
what is 71752903409589797628 * -41920450239208649263,-3007914016900453737281175331499401348164
what is -70306939382954919187 / -54034001247877682130,1.3
what is -96275924528717787688 - 58020309988166874967,-154296234516884662655
what is -32252887669897949665 + 96429958195312833601,64177070525414883936
what is 40575057507488827998 * 62140211627938200599,2521342660331118452391908198159531570802
what is 16343531064096686540 + -94781941557865245280,-78438410493768558740
what is -90083449897275361746 * 3303041682588451995,-297549389922068923887200528455780383270
what is -46197961316126818803 - 38754430134950435405,-84952391451077254208
what is -9119606945920394543 + 10556398487829618118,1436791541909223575
what is 30579911674717841786 - -43229815741244120308,73809727415961962094
what is 37141156945747320645 - 80777476848796799946,-43636319903049479301
what is -30271837378382105915 * -48677099609225953258,1473545243421795213168934702835395321070
what is -70861463198264779123 - -79461458381879404563,8599995183614625440
what is -13127443600769819965 * 26568137083719042921,-348771721144042896551310551291277717765
what is -69187091011270701433 / 90851354708845617588,-0.76
what is 99002669637299769960 + 11910927914925069830,110913597552224839790
what is -2564755574992332154 * 85370009078688302465,-218953206721711833351761008589696959610
what is 81657929515514657814 - -45588419199734764162,127246348715249421976
what is 93330467357467205570 - 54501299215143023046,38829168142324182524
what is -6130491037885541712 + 22467211910116822047,16336720872231280335
what is 10203257098214037673 - -16931983963362795904,27135241061576833577
what is -23431802947529190889 + 6070380261592225596,-17361422685936965293
what is 90594529126257838225 - -26823471957680170448,117418001083938008673
what is -70497617100551059341 / -574556287952498749,122.7
what is 77907072586238693650 * -2032535328047710658,-158348877336307469180137477019101921700
what is 70283441484818768524 + -7527400477159360612,62756041007659407912
what is 50106361102946837243 / 9583639100131127033,5.23
what is 61131801191708953396 / 60822234534441189276,1.01
what is 92595441425310446792 * -78076416823426869653,-7229520280671745849859159277655376003176
what is 30156742728769245207 - -26370950922164558718,56527693650933803925
what is 4625426662399640109 * 71216811529759207929,329408138860838341117183829598499224261
what is 34775305007653678492 * 66733439601852165417,2320675716364243908664504146815719111164
what is -92226446627715387518 * 86805527494193456863,-8005765348433913492650848167618061636034
what is -55185849911846096522 + 30724432345126839411,-24461417566719257111
what is 50940169167527394803 + 10838318710384882046,61778487877912276849
what is 88535499764544905653 - 25763102077708675110,62772397686836230543
what is 26580773465947394825 - 15225093488060820715,11355679977886574110
what is -42414215453049508935 + 72764277775309084080,30350062322259575145
what is -97219517671756739028 / -84672398488411667356,1.15
what is 22469546184508055342 + -84719280244016498580,-62249734059508443238
what is 47207936608607068531 * -22408925690432218502,-1057879143460910556763399568857080160562
what is -96466328891686433439 + 5042498180601272374,-91423830711085161065
what is 25569653109969034089 * 39318898461423969308,1005370594324706066334472256313141740412
what is 33093396194822171540 + 81723462700455989538,114816858895278161078
what is 96199771055376780685 + -74484003934221182346,21715767121155598339
what is -71590345469668640621 * 80147698868037459405,-5737801450561771967979858749852821490505
what is -60357584115464320649 - -89687489946520076800,29329905831055756151
what is -7376484802711997817 / -52867647755818610860,0.14
what is 95525255590839900408 / -4266630163662236957,-22.39
what is -38644783959089251525 - 54305255972870599964,-92950039931959851489
what is 85199613408305144626 + 55944186161204710669,141143799569509855295
what is 49529192284951134167 + 14263157304802038109,63792349589753172276
what is -9149387277501962969 - 26260846900857939367,-35410234178359902336
what is 98139144602516980335 - -25939648213375975903,124078792815892956238
what is -93479334881452049471 * -6741619101085135339,630202069593531102193917490614958355669
what is 77459349896016782012 - 85171620988310814550,-7712271092294032538
what is 66681586250620682527 + 10669943728238400861,77351529978859083388
what is 29926784708523265534 - -91124028644756422901,121050813353279688435
what is 23796192843406274176 / 25656438441138121313,0.93
what is -84211374199751927451 - -15359292099967382877,-68852082099784544574
what is -39603213878354978892 * 51632961420601688923,-2044831214312940013301356406901215213316
what is 59973878288905837977 + 45495073957812049602,105468952246717887579
what is -66996242595776687698 + -8727559415483761056,-75723802011260448754
what is 83557036965748299749 + 98156406967009244118,181713443932757543867
what is -88386918936149923463 - 94303119162761223764,-182690038098911147227
what is -37340336778160359957 + -11080532029887424272,-48420868808047784229
what is -699818694651782156 * -41674381735009843768,29164511426214661320077535644330203808
what is 55884625715833396069 * 56130847090335663469,3136851380756084573995989335160571503361
what is 99509722098108112932 * -74053400085585353000,-7369033262936614022897052277449084996000
what is 5412889882612330493 * -38212662032378383492,-206840931702745286580491265470199421556
what is -22894629852094215949 * 7270857062705738294,-166463581158132862535718126129114851006
what is -40511544201941923850 + 14199832933839059705,-26311711268102864145
what is 20802654094900355246 + 39801453042342682153,60604107137243037399
what is -14046874854876538530 / 52456721744110737428,-0.27
what is -75556696066420383692 + 23704728813408005223,-51851967253012378469
what is 18884788690129469364 / 42124861612389842231,0.45
what is -4134123153960269192 + -76839387707951197744,-80973510861911466936
what is -34082334748649634824 * -81231524282875380660,2768560002752020194602802647808992103840
what is -89969414306263108081 + -83718371964026464744,-173687786270289572825
what is -95536412660334130300 + 24567235777435474511,-70969176882898655789
what is 2354368345598048402 * 3832886429661792553,9024026482268045047046655221777150306
what is -53390883751300726294 - -74730264757959642993,21339381006658916699
what is 73360589706154429579 - -98206492275590014375,171567081981744443954
what is 49071516775307268924 - 54638377519452074663,-5566860744144805739
what is -64279655575921617725 / 59393713683785387512,-1.08
what is -55169844065725256539 + -11801200049506884086,-66971044115232140625
what is -86092504060440309406 - 92918495292372794884,-179010999352813104290
what is -25489315826380718172 * 89126844222489579606,-2271782280995672515779817638592644800232
what is 59067489570358567673 * -2025642252802059954,-119649602640663309436327392147312267042
what is -45218168877503139293 + -99914505247005956994,-145132674124509096287
what is -37947593190759225682 / -3537763381291841606,10.73
what is -39627619883033815011 + -51979415955861072570,-91607035838894887581
what is -57161691016745404885 * 61870736231513999278,-3536635907444358217633000112455707673030
what is -31520948568662658941 - 95622052188575133789,-127143000757237792730
what is 4615049488351450351 - -99472764509039274959,104087813997390725310
what is -73697667315452208892 + -61495133252392993341,-135192800567845202233
what is -18194232056594367539 * -17039067504384408775,310012748202746199300148524153566754725
what is 35048309726495412473 / -66461877701353942068,-0.53
what is -17524071963405808065 + -58761847169141981027,-76285919132547789092
what is 93041445307181446592 - -43733270763236576199,136774716070418022791
what is -96725812506661048220 * -18097555779893809273,1750500787194848557364971682546936144060
what is 8214834235680594571 * -82263410615130098517,-675780281865021172932975645004365351207
what is -66782878930324184860 + -82005445546503579101,-148788324476827763961
what is -54875995449863665671 / 98461542434071098392,-0.56
what is -85182697670816807134 - -89302521186057466162,4119823515240659028
what is 20649235754682882862 * 50764414810146360435,1048246369363227496740680926242736364970
what is 62453534567465696204 + 61960163808684783572,124413698376150479776
what is -4219836744343130777 + 27549077380477611902,23329240636134481125
what is -77333545501724339178 + 45429846364888684384,-31903699136835654794
what is 36725517813612314335 * 85636107009384416180,3145030373461557750498635471892619940300
what is 17942063668281039669 * -82021158132785425106,-1471628841364583294566932322727814529914
what is 62638381098410879460 * 88217161237393081343,5525780165007787696763300655683947914780
what is -94218295029137025651 + -71996703801691184606,-166214998830828210257
what is 52255906996432853375 / -40164678447155058999,-1.3
what is 79618402461640574170 + -32321654039228764405,47296748422411809765
what is 41432171461224847039 + 92971343731167930388,134403515192392777427
what is -64806024236838406377 - 50479135426627427326,-115285159663465833703
what is -83924321873097684007 - 2099641943777152182,-86023963816874836189
what is 43956905798236728530 + 77735028371442070975,121691934169678799505
what is -64167819975879327109 / 92933899616501869084,-0.69
what is -62411280678060940137 + -53545869442453510256,-115957150120514450393
what is -42773673325850112147 - -98082177791738537567,55308504465888425420
what is -58800428634326722598 + 90434585725961111077,31634157091634388479
what is -78026471071502603163 * -31960663465107815839,2493777783286265141006870821945702898757
what is -55360879238402514342 * -28044224878496701870,1552552946833059337930226904962373219540
what is -38536756393694931708 + -46591377104263886007,-85128133497958817715
what is -97514541192933120415 - 94903167572896701432,-192417708765829821847
what is 49239331330641788043 - 11827697356526053378,37411633974115734665
what is -28059206357897234477 - 65087659249281828978,-93146865607179063455
what is 52907444388458550169 + -49742950575469056343,3164493812989493826
what is -88647375625239962476 / -49210740100251234257,1.8
what is -20056468714432706139 / 49167206848379079844,-0.41
what is 2892424697401108025 - 645249081841281562,2247175615559826463
what is -32887987853882686596 + 44588764566602021518,11700776712719334922
what is 23089765472005697026 - -12237456023387674514,35327221495393371540
what is -91075180867434352563 / 3613860647057028384,-25.2
what is -98469205669457615385 / -9903951925434512035,9.94
what is 84577182771640295439 / -44585539058931838526,-1.9
what is -77012926320687545160 - -6761689594389050662,-70251236726298494498
what is -43076047894201979987 - 59819364820343689745,-102895412714545669732
what is -8544000828834687958 * -21706806488256871648,185462972627020893619586003719337214784
what is 78654236678069153639 * -21803713274818496129,-1714954424378332258139059125533827763431
what is 29370539220108222442 / 78053838646938383904,0.38
what is 96270157608899948740 + 95642091739757099782,191912249348657048522
what is 43908616498829436978 - -66443403957909726253,110352020456739163231
what is -59313297994597533973 * -67955335018871919449,4030655036297059393317673853312496940877
what is -65617674399510298143 / -18729113213981708464,3.5
what is 29940478588297055057 * -9397585242789637640,-281368199743439527368658086968159545480
what is 21686391262259568648 + -71166378624875406455,-49479987362615837807
what is -74235441760379314612 / 75370400791230213853,-0.98
what is -56622920456422464938 + 13572740860753817653,-43050179595668647285
what is 74214866444912841725 + -78118322278239298629,-3903455833326456904
what is 92753486271438975787 + -66182112031466127544,26571374239972848243
what is 75307896058186216421 - 10712366791869569854,64595529266316646567
what is 6800921846545822934 - -62079814856187021942,68880736702732844876
what is 34734274300109813734 - -32131055538520638137,66865329838630451871
what is 63813400636774453509 / 41796588944976107659,1.53
what is 19933224721442787969 / -90334914914566850911,-0.22
what is 24532792057243919241 / -46563847902297265985,-0.53
what is 69572147390736411319 - 25541748564599755041,44030398826136656278
what is -43202012650924149336 + -9658104647327536519,-52860117298251685855
what is -60287879894267745705 * -93904201783698021422,5661285238702669329364013573520738492510
what is 34205593629168413813 * -20466979901555492884,-700085197328964536708720561223688806692
what is -21388854313774246517 + 58769745822007565031,37380891508233318514
what is 57421536387072443239 + -51250128816793161441,6171407570279281798
what is -55501833708259642581 + -47774907967964839101,-103276741676224481682
what is 97282282890145013888 * -90653364880110958178,-8818966287210491164962702518336797176064
what is -65194782654342664103 * 65965161425473178272,-4300584361892352569418745261871133970016
what is 39370332369098567323 * 19554402080393299330,769863309184076677928535011072095793590
what is 21400803217737736265 * 4595173674661567967,98340407562761021398208900130018223255
what is -68269596500079247312 / -71144353005118209253,0.96
what is 26128146612570332399 + 47107407048425891540,73235553660996223939
what is 24389247430634884527 * -4012951860230096167,-97872875846378353193313555526150308009
what is -44190721284013018988 * 70108046480814903939,-3098125141800321208977419909140602993732
what is 76729158646917898638 / -4457354882470388538,-17.21
what is 68823711354973744295 - -86505089203090497423,155328800558064241718
what is 73704269867234161162 / -4175858828905944044,-17.65
what is -13585953878927419182 + 66124570468100625329,52538616589173206147
what is -41661875074709124787 / -22768778220119651405,1.83
what is -73105438264612758825 * -2816165435157680947,205877008362856169799370390274808607275
what is 45785642967825253637 + 59105087778518981154,104890730746344234791
what is 84323121873014794023 / 68811996986260313717,1.23
what is 85363014337111312847 - 84652370519051683143,710643818059629704
what is -2983730749638118131 + 43073241970979699197,40089511221341581066
what is -1369056760516748959 / -65509687784502036556,0.02
what is -76755091716698970405 / -77852483765581813287,0.99
what is 99124791428563770374 / -10840084977508777535,-9.14
what is -62832838789672991678 / 30081057780789351296,-2.09
what is 33105914163403829818 / 75713718959927115721,0.44
what is -42620893543415948513 - -59943265151960130141,17322371608544181628
what is 53031813210162056819 * 26620952884222848645,1411757400832630972298907630588527160255
what is -45178342214497249726 + 54161430725024030677,8983088510526780951
what is -51865828386534950403 + 2031568470431472889,-49834259916103477514
what is -82764625923498118261 + 99932095571524431343,17167469648026313082
what is -65136136645392843256 / -99005652151988590588,0.66
what is 80825155837781836729 * 82142320943993493287,6639165891175364927555108431207791538223
what is 39530452822885483211 + -22953483050672829339,16576969772212653872
what is 83832167276324080072 - -92956435747215496442,176788603023539576514
what is -6290460212856394857 - -90902546828895400230,84612086616039005373
what is -74620998422384514415 - 8333719124976568021,-82954717547361082436
what is 30348464660406015846 / 34436912441775414760,0.88
what is 87369645213444983610 / -48019239003380327195,-1.82
what is 21950807690245977604 / 52216836875382586472,0.42
what is -32030861649459109690 + 9569641722205323895,-22461219927253785795
what is -7237323075673173079 / -67684363146132265002,0.11
what is -59469568483866927998 - -74873474934077842136,15403906450210914138
what is -87802627419082159428 / -85649992694021099735,1.03
what is 52231399809625912174 - 58653565517563047518,-6422165707937135344
what is -27299502234736642383 * -33026489009497608218,901606710520285114331027386762507903494
what is -6754979727946600960 * 67232543139055669383,-454154465962616378485251108572390407680
what is 36438737911802016607 - -27466816873089092598,63905554784891109205
what is 17511572690478343799 - 83955812079018542928,-66444239388540199129
what is 49333913048624694517 / -97572113304852335308,-0.51
what is 42617088842511463358 * -81292535605193282868,-3464451212119548525808159277550711150744
what is -67884069329168592936 + 84349895236720023929,16465825907551430993
what is -41247647255446696547 / 67154361603971257567,-0.61
what is 51082944706956803121 * 44965447877888965439,2296967487669750142394709004957496335119
what is 5532607984473587838 * -77575697470760202790,-429195923227835411351932468015757668020
what is -50410818258934828509 * 23751004178971355090,-1197307555133326602653853794252494260810
what is 98404632657100393186 + 34614372265990174081,133019004923090567267
what is -67259962510240462423 + -71992212541929293927,-139252175052169756350
what is 20045983534184894621 + 3745817031852302172,23791800566037196793
what is -62828886343371277358 / 8664023468159018151,-7.25
what is 75494175308338540234 / 12825392997536323242,5.89
what is 85487600217416712089 - 68232503101225397346,17255097116191314743
what is -1421005789346644292 / -78798189759770835205,0.02
what is -97445797001868235367 - 63261335163159992220,-160707132165028227587
what is 45691093943515912278 / 76806877769230446972,0.59
what is 17401067955506383459 * -35228714549791471726,-613017255866057868913434173511312580234
what is 74349929029683421697 + -15472808332968284111,58877120696715137586
what is 40424917327851393687 + 50004680612514186799,90429597940365580486
what is 37338022938217481561 - 2581449388927410814,34756573549290070747
what is -41183918609320647787 * -3609091611781029323,148636535193171784407072221888002058201
what is 52608222112275195019 / 89665220232567213676,0.59
what is 4793195254883276320 - -74720531926050545021,79513727180933821341
what is -78765495827011554450 - 47269423082639605841,-126034918909651160291
what is 77339870350784466596 + 49543348681867317444,126883219032651784040
what is 5231464062335794955 / -10095637672440344115,-0.52
what is 41277033016497542623 * 57741260743649021099,2383387926129794094545225669132978802677
what is -17600330205269047757 + -25817574218328019688,-43417904423597067445
what is -59677079134302679732 / 81729651490193561980,-0.73
what is -69723049762653274654 * 74060058716918247815,-5163693159344714422924607222317630381010
what is 37580112801702896743 + 25160970863994857468,62741083665697754211
what is 42568482483484224100 + -42888278335500387609,-319795852016163509
what is -46921588543364409564 - -61782176134110708703,14860587590746299139
what is -99203667864043270822 / 51467133551702591432,-1.93
what is -66846704080169185814 * -40008023799340063755,2674404527746851331191841341749201571570
what is -52210246053639174970 * -94391176978746462715,4928186575352954447567195374838466243550
what is -50611231242317303772 + 83454204491996131179,32842973249678827407
what is -73988212922161142223 * -18441584524913055475,1364459882451299079947884736590963820925
what is -51835397566171933537 + 97235185907595376837,45399788341423443300
what is 43778085888578072961 / 70666948507482586151,0.62
what is 96216162705371739590 + -52890103207433723497,43326059497938016093
what is 85708448575854212795 - -27424561499792463662,113133010075646676457
what is 95670919062635294269 / -84447233104631921581,-1.13
what is -23027425044250542381 / -60440013662326589134,0.38
